START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,175,BB349193-B2E5-4754-8D99-F7B9EFA93661,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,176,4E0B20EE-60D9-4DF2-80A5-B95E5B6FF5FC,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,Apex Predator,
1,Cue,1,176.5,BCABF992-7007-432F-BDAC-6D4398F145F3,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,177,70C99DB7-1648-4388-96ED-4C2E1F4DB8CB,,,1,,,,,,,,,,1,M,b,,,,,,,,,,,,,,
1,Cue,1,178,84B35C58-F165-4290-B41B-B5F85D9026DA,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,179,496DC64F-ADE3-41AE-946B-1C0C33ED2FD9,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,180,9B668DE4-4B1B-42FD-A14E-4DD50DE48124,,,1,,,,,,,,,,1,,b,,,,,,,,,,,,,,
1,Cue,1,181,8B4EC0AB-5C78-4F3D-A3AB-185D5764BAB2,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,182,A44732F4-16DC-4F38-AACD-E1A9065C3379,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,183,CDDE4484-5621-460C-BCFC-6CFA4549A2C9,,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,184,3D718588-7F1C-4A56-A2F2-2B665DD32E5F,,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,185,D5C43F87-7951-41B5-8FE0-0F9E3F6C6351,,,3,,,,,,,,,,6,M,,,,,,,,,,,E5 ,,,,
1,Cue,1,186,B2629E68-DD3A-4F36-B850-21B221272A96,,,3,,,,,,,,,,3,,,,,,,,,,,,E5 ,,,,
1,Cue,1,187,4D70365B-C104-41DC-B406-3118DAE89C77,,,,,,,,,,,,,11,M,,,,,,,,,,,E5 ,,,,
1,Cue,1,187,4D70365B-C104-41DC-B406-3118DAE89C77,1,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,187,4D70365B-C104-41DC-B406-3118DAE89C77,2,,3,8,,,,,,,,,11,,,,,,,,,,,,,,,,
1,Cue,1,188,B444B69F-AAB2-4AD7-A15D-298528317840,,,3,,,,,,,,,,3,M,,,,,,,,,,,E5 ,,,,
1,Cue,1,189,42958453-B333-4869-9733-2918767B5A46,,,3,,1,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,190,2FD72F01-05E3-4249-82F7-18AE91D23C99,,Button,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,191,DD05A0BF-F608-445E-B325-52555DF61D3D,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,191,DD05A0BF-F608-445E-B325-52555DF61D3D,1,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,191,DD05A0BF-F608-445E-B325-52555DF61D3D,2,,3,2,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,192,00598A4D-0D3B-4FBE-A7E4-50AD1F46CB97,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,193,58D8B988-396A-4163-A2E3-5133B3A94693,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
1,Cue,1,194,B143F711-78DE-435A-BAF0-0F9C022F41DB,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,195,060B229E-3078-4822-9FCC-88B546002749,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
1,Cue,1,196,692B02FC-D7B4-4F79-B406-BF8FC2E0FEA0,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,197,878DA510-5097-4614-8C2A-FBC65FB0931D,,,,,,,,,,,,,12,M,,,,,,,,,,,,,,,
1,Cue,1,197,878DA510-5097-4614-8C2A-FBC65FB0931D,1,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,197,878DA510-5097-4614-8C2A-FBC65FB0931D,2,,3,9,,,,,,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,198,8E91CE2D-60C7-469B-AEF4-5AE82EA06AFF,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,199,9080E74E-DDFA-47F3-B360-E8AEE3BBCBA1,,,1.5,,,,,,,,,,3,M,,,,,,,,,,,,,,Stupid With Love,
1,Cue,1,200,17AC26F5-E4D3-4E06-B225-21CBDDDC0FDB,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,201,5ECB47FD-F05A-47A0-B74B-B6CD8948A68B,,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,202,A96359A3-B142-462D-AF73-013F1BCF1BAD,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,203,8565BB8F-FBA7-449E-80A2-6103AC3B3B80,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,204,B48675DD-466F-49DE-907D-4B108A5883C3,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
